Month,Day,Hour,Houston,Austin,San Antonio,Dallas,Midland
1,1,0,0.08114,0.12661,0.08504,0.08128,0.08229
1,1,1,0.06008,0.07045,0.0632,0.06119,0.06216
1,1,2,0.05536,0.06649,0.05934,0.05684,0.05809
1,1,3,0.04799,0.05769,0.04954,0.04835,0.04871
1,1,4,0.03256,0.04054,0.03497,0.03173,0.04044
1,1,5,0.04893,0.05665,0.05337,0.04677,0.06763
1,1,6,0.03542,0.04244,0.03559,0.03498,0.0348
1,1,7,0.04914,0.05654,0.04916,0.04878,0.04879
1,1,8,0.05026,0.05811,0.05123,0.05009,0.04985
1,1,9,0.03052,0.03779,0.03133,0.03027,0.02994
1,1,10,0.05131,0.05856,0.05186,0.05093,0.03017
1,1,11,0.05293,0.06065,0.0538,0.05254,0.02733
1,1,12,0.05625,0.06295,0.0564,0.05573,0.03093
1,1,13,0.05924,0.06086,0.06051,0.05765,0.03277
1,1,14,0.06035,0.06113,0.06091,0.05938,0.0344
1,1,15,0.05987,0.05703,0.05477,0.05602,0.03409
1,1,16,0.05812,0.05681,0.06524,0.05587,0.03447
1,1,17,0.06339,0.05634,0.07008,0.05669,0.03492
1,1,18,0.06386,0.06345,0.06815,0.06207,0.03563
1,1,19,0.06559,0.06505,0.06741,0.06472,0.03889
1,1,20,0.06344,0.06333,0.06333,0.06299,0.03678
1,1,21,0.06471,0.06437,0.06447,0.0644,0.03825
1,1,22,0.05765,0.05733,0.0573,0.05749,0.03474
1,1,23,0.05232,0.0521,0.05238,0.05188,0.0338
1,2,0,0.04632,0.04632,0.04632,0.04632,0.04632
1,2,1,0.04193,0.04168,0.04167,0.0424,0.04166
1,2,2,0.03582,0.03569,0.03568,0.03608,0.03568
1,2,3,0.05072,0.04948,0.04946,0.05307,0.04943
1,2,4,0.03961,0.03851,0.03854,0.0418,0.0385
1,2,5,0.05317,0.05221,0.05286,0.05686,0.05242
1,2,6,0.05307,0.05261,0.0538,0.05673,0.05309
1,2,7,0.05912,0.05984,0.0615,0.06171,0.06054
1,2,8,0.0592,0.06056,0.06197,0.06039,0.06114
1,2,9,0.05505,0.05486,0.05465,0.05803,0.05441
1,2,10,0.05748,0.05808,0.05849,0.05801,0.05825
1,2,11,0.061,0.06195,0.06286,0.0619,0.06266
1,2,12,0.05552,0.05614,0.05665,0.05604,0.05633
1,2,13,0.05628,0.05858,0.05744,0.05675,0.05705
1,2,14,0.04614,0.04761,0.04821,0.047,0.04758
1,2,15,0.03586,0.03702,0.03824,0.03688,0.03752
1,2,16,0.04967,0.04942,0.04966,0.0496,0.04977
1,2,17,0.06046,0.06363,0.06563,0.06277,0.06369
1,2,18,0.07379,0.08267,0.07878,0.07572,0.07692
1,2,19,0.07102,0.07914,0.07454,0.07297,0.07359
1,2,20,0.07111,0.0785,0.07261,0.07147,0.07089
1,2,21,0.06928,0.07638,0.0706,0.06897,0.06756
1,2,22,0.06668,0.0745,0.06766,0.06592,0.06501
1,2,23,0.06764,0.07235,0.06787,0.06756,0.0676
1,3,0,0.06737,0.08467,0.09212,0.07659,0.07691
1,3,1,0.06507,0.07039,0.07159,0.06792,0.0686
1,3,2,0.06579,0.06686,0.06607,0.06592,0.06596
1,3,3,0.06474,0.06647,0.06515,0.0648,0.06472
1,3,4,0.06617,0.06731,0.06765,0.0654,0.06359
1,3,5,0.06708,0.06831,0.07027,0.06725,0.06645
1,3,6,0.07213,0.08037,0.0759,0.073,0.07339
1,3,7,0.08544,0.09342,0.0886,0.08705,0.08864
1,3,8,0.07321,0.07923,0.07366,0.07327,0.0734
1,3,9,0.05844,0.06476,0.05862,0.05831,0.05834
1,3,10,0.05829,0.05746,0.05732,0.0577,0.05763
